Election date,State,Democratic votes,Other votes,Republican votes,Democratic electoral,Other electoral,Republican electoral
2008-11-04,MD,1629467,42267,959862,10,0,0
2008-11-04,ME,421923,13967,295273,4,0,0
2008-11-04,MI,2872579,80548,2048639,17,0,0
2008-11-04,MN,1573354,61606,1275409,10,0,0
2008-11-04,MO,1441911,37480,1445814,0,0,11
2008-11-04,MS,554662,10606,724597,0,0,6
2008-11-04,MT,231667,15872,242763,0,0,3
2008-11-04,NC,2142651,39664,2128474,15,0,0
2008-11-04,ND,141278,6742,168601,0,0,3
2008-11-04,NE,333319,14983,452979,1,0,4
2008-11-04,NH,384826,9610,316534,4,0,0
2008-11-04,NJ,2215422,39608,1613207,15,0,0
2008-11-04,NM,472422,10904,346832,5,0,0
2008-11-04,NV,533736,21285,412827,5,0,0
2008-11-04,NY,4804945,83215,2752771,31,0,0
2008-11-04,OH,2940044,90486,2677820,20,0,0
2008-11-04,OK,502496,0,960165,0,0,7
2008-11-04,OR,1037291,52098,738475,7,0,0
2008-11-04,PA,3276363,81024,2655885,21,0,0
2008-11-04,RI,296571,9804,165391,4,0,0
2008-11-04,SC,862449,23624,1034896,0,0,8
2008-11-04,SD,170924,7997,203054,0,0,3
2008-11-04,TN,1087437,33134,1479178,0,0,11
2008-11-04,TX,3528633,69834,4479328,0,0,34
2008-11-04,UT,327670,28670,596030,0,0,5
2008-11-04,VA,1959532,38723,1725005,13,0,0
2008-11-04,VT,219262,6810,98974,3,0,0
2008-11-04,WA,1750848,56814,1229216,11,0,0
2008-11-04,WI,1677211,43813,1262393,10,0,0
2008-11-04,WV,303857,12128,397466,0,0,5
2008-11-04,WY,82868,6832,164958,0,0,3
2004-11-02,AL,693933,13122,1176394,0,0,9
2004-11-02,AK,111025,10684,190889,0,0,3
2004-11-02,AZ,893524,14767,1104294,0,0,10
2004-11-02,AR,469953,12094,572898,0,0,6
2004-11-02,CA,6745485,166042,5509826,55,0,0
2004-11-02,CO,1001732,27343,1101255,0,0,9
2004-11-02,CT,857488,27455,693826,7,0,0
2004-11-02,DE,200152,3378,171660,3,0,0
2004-11-02,DC,202970,3360,21256,3,0,0
2004-11-02,FL,3583544,61744,3964522,0,0,27
2004-11-02,GA,3583544,21472,1914254,0,0,15
2004-11-02,HI,231708,3114,194191,4,0,0
2004-11-02,ID,181098,8114,409235,0,0,4
2004-11-02,IL,2891550,36826,2345946,21,0,0
2004-11-02,IN,969011,19553,1479438,0,0,11
2004-11-02,IA,741898,13053,751957,0,0,7
2004-11-02,KS,434993,16307,736456,0,0,6
2004-11-02,KY,712733,13710,1069439,0,0,8
2004-11-02,LA,820299,20638,1102169,0,0,9
2004-11-02,ME,396842,13709,330201,4,0,0
2004-11-02,MD,1334493,27482,1024703,10,0,0
2004-11-02,MA,1803800,37479,1071109,12,0,0
2004-11-02,MI,2479183,46323,2313746,17,0,0
2004-11-02,MN,1445014,36678,1346695,10,0,0
2004-11-02,MS,458094,9070,684981,0,0,6
2004-11-02,MO,1259171,16480,1455713,0,0,11
2004-11-02,MT,173710,10672,266063,0,0,3
2004-11-02,NE,254328,11044,512814,0,0,5
2004-11-02,NV,397190,13707,418690,0,0,5
2004-11-02,NH,340511,5990,331237,4,0,0
2004-11-02,NJ,1911430,30258,1670003,15,0,0
2004-11-02,NM,370942,8432,376930,0,0,5
2004-11-02,NY,4314280,114189,2962567,31,0,0
2004-11-02,NC,1525849,13992,1961166,0,0,15
2004-11-02,ND,111052,5130,196651,0,0,3
2004-11-02,OH,2741167,26973,2859768,0,0,20
2004-11-02,OK,503966,0,959792,0,0,7
2004-11-02,OR,943163,26788,866831,7,0,0
2004-11-02,PA,2938095,37648,2793847,21,0,0
2004-11-02,RI,259765,8323,169046,4,0,0
2004-11-02,SC,661699,18057,937974,0,0,8
2004-11-02,SD,149244,6387,232584,0,0,3
2004-11-02,TN,1036477,16467,1384375,0,0,11
2004-11-02,TX,2832704,51144,4526917,0,0,34
2004-11-02,UT,241199,22903,663742,0,0,5
2004-11-02,VT,184067,7062,121180,3,0,0
2004-11-02,VA,1454742,26666,1716959,0,0,13
2004-11-02,WA,1510201,43989,1304894,11,0,0
2004-11-02,WV,326541,5568,423778,0,0,5
2004-11-02,WI,1489504,29383,1478120,10,0,0
2000-11-07,AK,79004,39158,167398,0,0,3
2000-11-07,AL,692611,32488,941173,0,0,9
2000-11-07,AR,422768,26073,472940,0,0,6
2000-11-07,AZ,685341,65023,781652,0,0,8
2000-11-07,CA,5861203,537224,4567429,54,0,0
2000-11-07,CO,738227,119393,883748,0,0,8
2000-11-07,CT,816015,82416,561094,8,0,0
2000-11-07,DC,171923,11898,18073,3,0,0
2000-11-07,DE,180068,10266,137288,3,0,0
2000-11-07,FL,2912253,138067,2912790,0,0,25
2000-11-07,GA,1116230,60854,1419720,0,0,13
2000-11-07,HI,205286,24820,137845,4,0,0
2000-11-07,IA,638517,42673,634373,7,0,0
2000-11-07,ID,138637,26047,336937,0,0,4
2000-11-07,IL,2589026,133676,2019421,22,0,0
2000-11-07,IN,901980,51486,1245836,0,0,12
2000-11-07,KS,399276,50610,622332,0,0,6
2000-11-07,KY,638898,32797,872492,0,0,8
2000-11-07,LA,792344,45441,927871,0,0,9
2000-11-07,MA,1616487,207995,878502,12,0,0
2000-11-07,MD,1145782,65901,813797,10,0,0
2000-11-07,ME,319951,45250,286616,4,0,0
2000-11-07,MI,2170418,108944,1953139,18,0,0
2000-11-07,MN,1168266,160760,1109659,10,0,0
2000-11-07,MO,1111138,58830,1189924,0,0,11
2000-11-07,MS,404614,16726,572844,0,0,7
2000-11-07,MT,137126,33693,240178,0,0,3
2000-11-07,NC,1257692,22407,1631163,0,0,14
2000-11-07,ND,95284,18120,174852,0,0,3
2000-11-07,NE,231780,31377,433862,0,0,5
2000-11-07,NH,266348,29174,273559,0,0,4
2000-11-07,NJ,1788850,114203,1284173,15,0,0
2000-11-07,NM,286783,25405,286417,5,0,0
2000-11-07,NV,279978,27417,301575,0,0,4
2000-11-07,NY,4107697,310928,2403374,33,0,0
2000-11-07,OH,2186190,168058,2351209,0,0,21
2000-11-07,OK,474276,15616,744337,0,0,8
2000-11-07,OR,720342,100049,713577,7,0,0
2000-11-07,PA,2485967,146025,2281127,23,0,0
2000-11-07,RI,249508,29049,130555,4,0,0
2000-11-07,SC,565561,31219,785937,0,0,8
2000-11-07,SD,118804,6765,190700,0,0,3
2000-11-07,TN,981720,32512,1061949,0,0,11
2000-11-07,TX,2433746,174252,3799639,0,0,32
2000-11-07,UT,203053,52605,515096,0,0,5
2000-11-07,VA,1217290,84667,1437490,0,0,13
2000-11-07,VT,149022,25511,119775,3,0,0
2000-11-07,WA,1247652,130917,1108864,11,0,0
2000-11-07,WI,1242987,118341,1237279,11,0,0
2000-11-07,WV,295497,16152,336475,0,0,5
