State abbreviation,1789,1792,1796,1800,1804,1808,1812,1816,1820,1824,1828,1832,1836,1840,1844,1848,1852,1856,1860,1864,1868,1872,1876,1880,1884,1888,1892,1896,1900,1904,1908,1912,1916,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016,2020
NC,,12,12,12,14,14,15,15,15,15,15,15,15,15,11,11,10,10,10,0,9,10,10,10,11,11,11,11,11,12,12,12,12,12,12,12,13,13,13,14,14,14,14,14,13,13,13,13,13,13,13,14,14,14,15,15,15,15,15
ND,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,4,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3
OH,,,,,3,3,8,8,8,16,16,21,21,21,23,23,23,23,23,21,21,22,22,22,23,23,23,23,23,23,23,24,24,24,24,24,26,26,26,25,25,25,25,25,26,26,25,25,25,23,23,21,21,21,20,20,18,18,18
OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,10,10,10,10,10,11,11,11,10,10,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7
OR,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7
PA,10,15,15,15,20,20,25,25,25,28,28,30,30,30,26,26,27,27,27,26,26,29,29,29,30,30,32,32,32,34,34,38,38,38,38,38,36,36,36,35,35,32,32,32,29,29,27,27,27,25,25,23,23,23,21,21,20,20,20
RI,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
SC,7,8,8,8,10,10,11,11,11,11,11,11,11,11,9,9,8,8,8,0,6,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9
SD,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3
TN,,,3,3,5,5,8,8,8,11,11,15,15,15,13,13,12,12,12,0,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,12,12,11,11,11,11,11,10,10,10,11,11,11,11,11,11,11,11,11,11
TX,,,,,,,,,,,,,,,,4,4,4,4,0,0,8,8,8,13,13,15,15,15,18,18,20,20,20,20,20,23,23,23,23,23,24,24,24,25,25,26,26,26,29,29,32,32,32,34,34,38,38,38
UT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,6,6,6
VT,,4,4,4,6,6,8,8,8,7,7,7,7,7,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
VA,12,21,21,21,24,24,25,25,25,24,24,23,23,23,17,17,15,15,15,0,0,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13
WA,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,5,5,7,7,7,7,7,8,8,8,8,8,9,9,9,9,9,9,9,9,10,10,11,11,11,11,11,12,12,12
WV,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,6,6,6,6,6,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,6,6,6,6,6,5,5,5,5,5,5,5,5
WI,,,,,,,,,,,,,,,,4,5,5,5,8,8,10,10,10,11,11,12,12,12,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,10,10,10,10,10
WY,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
